subject	relation	object	roles	year_start	year_end	explicit	sources	evidence
Charles Wilkins	position_at	India Office Library	Librarian			True	Windisch GSP	Hier war er der erste Librarian of the India House Library
Christian Karl Josias von Bunsen	position_at	Kingdom of Prussia	preußischer Gesandter			True	Windisch GSP	Christian Karl Josias Bunsen... war damals preußischer Gesandter in London
Christian Lassen	position_at	University of Bonn	außerordentlicher Professor; ordentlicher Professor der Altindischen Sprache und Literatur	1830	1876	True	Windisch GSP	Im Jahre 1830 wurde er außerordentlicher, 1840 ordentlicher Professor.
Claude Martin Wade	position_at	Government of the United Kingdom	Political Agent			True	Windisch GSP	Captain C. M. Wade, Political Agent at Lúdiana
Claude-Auguste Court	position_at	Court of Ranjit Singh	in Diensten			True	Windisch GSP	Franzosen A. Court, der wie die Generale Ventura und Allard in Diensten des Mahārāja Ranjīt Singh stand
Claude-Auguste Court	position_at	Sikh Khalsa Army	Engineer Officer			True	Windisch GSP	A. Court, "Engineer Officer in the Army of Mahārāja Ranjit Singh"
Colin Mackenzie	position_at	Survey of India	Surveyor-General of India			True	Windisch GSP	Lieut. Col. Colin Mackenzie, Surveyor-General of India
Eduard Buschmann	position_at	Royal Library of Berlin	Custos			True	Windisch GSP	von J. C. Eduard Buschmann, damals Custos bei der Königl. Bibliothek in Berlin, für den Druck zurechtgemacht und herausgegeben worden
Edward Elbridge Salisbury	position_at	Yale University	Professor des Arabischen und des Sanskrit			True	Windisch GSP	am Yale College (jetzt University), wo er in seiner Jugend Edward E. Salisbury, Professor des Arabischen und des Sanskrit, zum Lehrer des Sanskrit gehabt hatte
Edward Rehatsek	position_at	University of Breslau	Professor			True	Windisch GSP	Er hatte seine Professur an der Universität niedergelegt, und lebte in der dürftigsten Weise
Emilio Teza	position_at	University of Padua	Professor der Vergleichenden Sprachwissenschaft und des Sanskrit			True	Windisch GSP	Professor der Vergleichenden Sprachwissenschaft und des Sanskrit an der Universität zu Padua
Ernst Haas	position_at	British Museum		1866		True	Windisch GSP	Im Jahre 1866 wurde er am British Museum angestellt
Ernst Haas	position_at	University College London	Professor des Sanskrit	1875		True	Windisch GSP	erhielt 1875 die Professur des Sanskrit am University College zu London
Ernst Trumpp	position_at	India	Missionar			True	Windisch GSP	der lange als Missionar in Indien tätig gewesen war
Ernst Trumpp	position_at	University of Munich	Professor			True	Windisch GSP	In der Folgezeit hat ein anderer Münchener Professor, Ernst Trumpp, der lange als Missionar in Indien tätig gewesen war
Ernst Windisch	position_at	Royal Saxon Research Institutes, Leipzig	Mitglied der Sanskrit-Abteilung des Indogermanischen Forschungsinstituts			True	Windisch GSP	Königl. Sächsischen Forschungsinstitute zu Leipzig, in denen ich der Sanskrit-Abteilung des Indogermanischen Forschungsinstituts angehöre.
Ernst Windisch	position_at	University of Heidelberg	Ordinariat für Vergleichende Sprachwissenschaft	1872		True	Windisch GSP	Nachdem Windisch 1872 in Heidelberg, 1875 in Straßburg ein Ordinariat für Vergleichende Sprachwissenschaft erhalten hatte
Ernst Windisch	position_at	University of Leipzig	Professor; Professor des Sanskrit; außerordentlicher Professor	1871		True	Windisch GSP	und wurde 1871 außerordentlicher Professor daselbst
Ernst Windisch	position_at	University of Strasbourg	Ordinariat für Vergleichende Sprachwissenschaft	1875		True	Windisch GSP	1875 in Straßburg ein Ordinariat für Vergleichende Sprachwissenschaft erhalten hatte
Eugen Wilhelm	position_at	University of Jena	Professor			True	Windisch GSP	Wilhelm, geboren 1842, Professor am Gymnasium und an der Universität zu Jena
Eugène Burnouf	position_at	Collège de France	Lehrer; Professor	1832		True	Windisch GSP; Winternitz GIL 1	Nach Chézys Tode im Jahre 1832 wurde er dessen Nachfolger am Collège de France.
Eugène Burnouf	position_at	Cour d'appel de Paris	avocat	1824		True	Windisch GSP	Eugène Burnouf avait été inscrit, en novembre 1824, sur le tableau des avocats à la Cour d'appel de Paris
Ferdinand Benary	position_at	University of Berlin	a. o. Professor in der theologischen Fakultät	1831		True	Windisch GSP	Ferdinand Benary, seit 1831 a. o. Professor in der theologischen Fakultät zu Berlin
Ferdinand d'Eckstein	position_at	Société Asiatique	Mitglied		1862	True	Windisch GSP	Er war Mitglied der Société Asiatique und starb in Paris 1862 im 72. Lebensjahre.
Ferdinand de Saussure	position_at	University of Geneva	Professor		1913	True	Windisch GSP	gestorben 1913 als Professor an der dortigen Universität
Ferdinand de Saussure	position_at	École Pratique des Hautes Études	Maître de Conférences			True	Windisch GSP	Ehe de Saussure die Professur in Genf erhielt, war er 24jährig als Maître de Conférences an die École des Hautes Études in Paris berufen worden.
Filipp Fortunatov	position_at	University of Moscow	Gelehrter			True	Windisch GSP	Die kleine aber inhaltsreiche Abhandlung des Moskauer Gelehrten Ph. Fortunatov
Francis Henry Trithen	position_at	British Museum				True	Windisch GSP	und am British Museum angestellt wurde.
Francis Henry Trithen	position_at	Taylor Institution	Professor der modernen Sprachen			True	Windisch GSP	Dort wurde er Professor der modernen Sprachen an der Taylor Institution in Oxford.
Franz Bopp	position_at	Prussian Academy of Sciences	Mitglied	1822	1867	True	Windisch GSP	gestorben 1867 als Mitglied der K. Preußischen Akademie d. W.
Franz Bopp	position_at	University of Berlin	Professor; außerordentlicher Professor, seit 1825 ordentlicher Professor	1821	1867	True	Windisch GSP	und Professor an der Universität in Berlin.
Franz Heinrich Weissbach	position_at	Leipzig University Library	Oberbibliothekar			True	Windisch GSP	Herrn Oberbibliothekar Professor Dr. Weissbach
François Bernier	position_at	Mughal Court	Arzt			True	Windisch GSP	François Bernier hielt sich während der Jahre 1656-1668 in Indien auf und war acht Jahre lang Arzt am Hofe des Großmoguls.
Friedrich Bollensen	position_at	Gatchina Orphanage Institute	Oberlehrer der deutschen Sprache	1834		True	Windisch GSP	Ende 1834 zum Oberlehrer der deutschen Sprache an der Kais. Waisenerziehungsanstalt in Gatschina ernannt.
Friedrich Bollensen	position_at	Main Pedagogical Institute	Adjunkt-Professor	1846	1846	True	Windisch GSP	Auf dem Titelblatt seiner Ausgabe der Urvaśī bezeichnet er sich 1846 als "Adjunkt-Professor am Paedagogischen Haupt-Institute".
Friedrich Bollensen	position_at	University of Kazan	ordentlicher Professor des Sanskrit	1852	1856	True	Windisch GSP	Im Jahre 1852 wurde er als ordentlicher Professor des Sanskrit nach Kasan berufen, kehrte aber 1856 nach Deutschland zurück
Friedrich Bollensen	position_at	University of Saint Petersburg	Adjunktprofessor			True	Windisch GSP	Er war dann längere Zeit Adjunktprofessor an der Petersburger Universität.
Friedrich Haag	position_at	University of Bern	Professor für klassische Philologie (mit Grammatik der klassischen Sprachen)			True	Windisch GSP	kam von hier aus als Professor für klassische Philologie (mit Grammatik der klassischen Sprachen) nach Bern.
Friedrich Haag	position_at	University of Zurich	Privatdozent	1873	1884	True	Windisch GSP	habilitierte sich Haag 1873 in Zürich für Sanskrit, war aber 1873-1878 Lehrer in Rußland und las dann, nach der Schweiz zurückgekehrt, 1878-1884 von Schaffhausen aus in Zürich über slawische Sprachen
Friedrich Heinrich Hugo Windischmann	position_at	Archdiocese of Munich and Freising	Generalvikar des Erzbischofs von München		1861	True	Windisch GSP	gestorben 1861 als Generalvikar des Erzbischofs von München
Friedrich Majer	position_at	University of Jena	Privatdozent			True	Windisch GSP	der Jenaer Privatdozent Friedrich Majer (1772-1818)
Friedrich Max Müller	position_at	University of Oxford	Deputy Professor; Professor der Vergleichenden Sprachwissenschaft; Professor of Modern European Languages and Literature; Professur für Comparative Philology	1851	1900	True	Windisch GSP	ist gestorben 1900 als Professor der Vergleichenden Sprachwissenschaft in Oxford.
Friedrich Rosen	position_at	University College London	Professor des Sanskrit	1827	1837	True	Windisch GSP	gestorben als Professor des Sanskrit an der London University, wozu er schon mit 22 Jahren ernannt worden war
Friedrich Rückert	position_at	University of Berlin	Professor des Arabischen	1841	1849	True	Windisch GSP	Später, von 1841 an, war er neben Bopp Professor des Arabischen in Berlin, bis er 1849 seine Professur niederlegte.
Friedrich Rückert	position_at	University of Erlangen	Professor	1826		True	Windisch GSP	Er war damals schon, seit 1826, Professor in Erlangen, wo er auch Sanskrit las.
Félix Nève	position_at	University of Leuven	Professor	1841		True	Windisch GSP	Seit 1841 Professor an der katholischen Universität zu Louvain war er anfangs mit den "cours d'histoire de la littérature ancienne et des langues orientales", später mit dem "cours d'histoire de la philosophie ancienne" betraut
Gaspare Gorresio	position_at	Royal Library of Turin	Bibliothekar			True	Windisch GSP	zuletzt Bibliothekar an der Königl. Bibliothek zu Turin
Gaspare Gorresio	position_at	University of Turin	Professor des Sanskrit			True	Windisch GSP	Professor des Sanskrit an der Universität
Georg Bühler	position_at	University of Bombay	Professor			True	Windisch GSP	Aber schon II 691 ff. schreibt er als Professor in Bombay über eine Handschrift der Grammatik des Śākaṭāyana
Georg Curtius	position_at	University of Leipzig	Professor der klassischen Philologie		1885	True	Windisch GSP	G. Curtius in Leipzig ... G. Curtius, der Professor der klassischen Philologie war
George Thibaut	position_at	Queen's College, Benares	Direktor			True	Windisch GSP	seines Besuches in Queen's College. [...] seine Charakteristik von Thibaut, dem damaligen Direktor des College
George Turnour	position_at	Ceylon Civil Service	Member of the Supreme Council	1818		True	Windisch GSP	George Turnour, of the Ceylon Civil Service, geboren 1799, gestorben 1843, nach Ceylon gekommen 1818
Giacomo Lignana	position_at	University of Naples	Professor di lingue e letterature comparate	1860	1870	True	Windisch GSP	wurde 1860 Professor di lingue e letterature comparate an der Universität zu Neapel. [...] Als Lignana 1870 nach Rom übersiedelte
Giovanni Flechia	position_at	University of Turin	Professor des Sanskrit / Vergleichende Sprachwissenschaft	1856		True	Windisch GSP	Er erhielt 1856 eine Professur des Sanskrit in Turin, die später, dem Geiste der Zeit entsprechend, in eine Professur für vergleichende Sprachwissenschaft umgewandelt wurde.
Giuseppe Bardelli	position_at	University of Pisa	Dozent für Koptisch und Sanskrit			True	Windisch GSP	zuletzt an der Universität zu Pisa, neben dem Koptischen das Sanskrit lehrte
Gottlieb Siegfried Bayer	position_at	Königsberg Cathedral School		1720		True	Windisch GSP	Schon 1720 wurde er an der Kathedralschule zu Königsberg angestellt
Gottlieb Siegfried Bayer	position_at	Saint Petersburg Academy of Sciences	für griechische und römische Altertümer sowie für orientalische Sprachen	1726	1738	True	Windisch GSP	folgte aber wenige Jahre darauf einem Rufe an die 1724 von Peter dem Großen gegründete Akademie der Wissenschaften zu St. Petersburg... wo wir ihn schon 1726 in Tätigkeit finden.
Graziadio Isaia Ascoli	position_at	Accademia Scientifico-Letteraria di Milano	Professor	1860	1907	True	Windisch GSP	Um 1860 wurde ihm eine Professur an der Accademia scientifico-letteraria zu Mailand angetragen, deren Zierde er bis an sein Lebensende geblieben ist.
Guillaume Le Gentil de La Galaisière	position_at	Government of France	ministerii Gallici nomine residentis	1775		True	Windisch GSP	Le Gentil, "tunc apud Nabab Soudjaëddaulah, in urbe Faisabad, ministerii Gallici nomine residentis"
Guillaume-Emmanuel-Joseph Guilhem de Clermont-Lodève, baron de Sainte-Croix	position_at	Académie des Inscriptions et Belles-Lettres	Mitglied			True	Windisch GSP	Baron de Sainte Croix, Mitglied der Académie des Inscriptions et Belles Lettres
Heinrich Ewald	position_at	University of Göttingen	Professor			True	Windisch GSP	geboren 1803 zu Göttingen, wo er auch als Professor seine Haupttätigkeit entfaltet hat
Heinrich Ewald	position_at	University of Tübingen	Orientalist in der philosophischen Fakultät			True	Windisch GSP	Ewald hatte nach Verlust seiner Göttinger Professur in Tübingen ein Unterkommen gefunden, zunächst als Orientalist in der philosophischen Fakultät.
Heinrich Uhle	position_at	Kreuzschule Dresden	Professor			True	Windisch GSP	Heinrich Uhle, geboren 1842, Professor an der Kreuzschule in Dresden
Heinrich Wenzel	position_at	University of Leipzig	Habilitation	1886		True	Windisch GSP	Er habilitierte sich in Leipzig mit der Schrift "Suḥṛillekha. Brief des Nāgārjuna an König Udayana. Aus dem Tibetischen übersetzt von Heinrich Wenzel", Leipzig 1886.
Heinrich Zimmer	position_at	University of Berlin	Professor der Keltologie		1910	True	Windisch GSP	gestorben 1910 als Professor der Keltologie zu Berlin
Hendrik van Rheede	position_at	Dutch Malabar	Dutch Governor of Malabar	1676		True	Windisch GSP	Henry Van Rheede, the Dutch Governor of Malabar, had made a large collection of Indian plants
Henry Pitts Forster	position_at	Bengal Civil Service				True	Windisch GSP	Henry Pitts Forster, geboren um 1766, gestorben 1815, gehörte dem Bengal Civil Service an
Henry Pitts Forster	position_at	Calcutta Mint	Master of the Calcutta Mint			True	Windisch GSP	zuletzt als Master of the Calcutta Mint
Henry Thomas Colebrooke	position_at	Asiatic Society of Bengal	Mitglied			True	Windisch GSP	Der Asiatischen Gesellschaft von Bengalen, unter deren Mitgliedern Sir William Jones, Henry Thomas Colebrooke, Horace Hayman Wilson, James Prinsep
Henry Thomas Colebrooke	position_at	Bengal Civil Service	Beamter; writership, anfangs Verwaltungsbeamter, dann Richter	1782		True	Windisch GSP; Winternitz GIL 1	Schon im Jahre 1782 ging er nach Indien und begann seine Laufbahn dort mit einer writership im Civil Service of Bengal. Er war in Tirhoot, Purneah, Mirzapore tätig, anfangs als Verwaltungsbeamter, dann als Richter.
Henry Thomas Colebrooke	position_at	Council of India	Mitglied	1807		True	Windisch GSP	im Jahre 1807 unter Lord Minto Mitglied des Council.
Henry Thomas Colebrooke	position_at	East India Company Civil Service	writer			True	Windisch GSP	kam er nach Indien wie Colebrooke "as a writer in the East India Company's Civil Service"
Henry Thomas Colebrooke	position_at	Fort William College	Professor des Sanskrit	1801		True	Windisch GSP	Im Jahr 1801 wurde er [...] Professor des Sanskrit am College of Fort William
Henry Thomas Colebrooke	position_at	Sadar Diwani Adalat	Mitglied	1801		True	Windisch GSP	Im Jahr 1801 wurde er Mitglied des Superior Court of Appeal in Calcutta
Hermann Brockhaus	position_at	University of Leipzig	Professor der Ostasiatischen Sprachen; Rektor	1872	1877	True	Windisch GSP	gestorben 1877 als Professor der Ostasiatischen Sprachen in Leipzig.
Hermann Brunnhofer	position_at	Goldingen Gymnasium	Lehrer	1889		True	Windisch GSP	Brunnhofer war damals Lehrer am Gymnasium in Goldingen in Kurland.
Hermann Brunnhofer	position_at	University of Bern	Titularprofessor (zuvor Habilitation, Lehrauftrag für historische Topographie)	1901	1914	True	Windisch GSP	Habilitiert hat er sich erst 1901 in Bern, bezeichnenderweise für Urgeschichte und historische Geographie des Orients. [...] Zum Titularprofessor ernannt, verließ er Bern 1914
Hermann Brunnhofer	position_at	University of Oxford	wissenschaftlicher Hilfsarbeiter	1866		True	Windisch GSP	wo er zuerst als Nachfolger des nach Indien berufenen Kielhorn wissenschaftlicher Hilfsarbeiter bei Monier Williams in Oxford war.
Hermann Grassmann	position_at	Marienstiftsgymnasium Stettin	Professor		1877	True	Windisch GSP	geboren 1809, gestorben 1877 als Professor am Marienstifts-Gymnasium zu Stettin.
Horace Hayman Wilson	position_at	Asiatic Society of Bengal	Mitglied; Secretary	1811	1833	True	Windisch GSP	war von 1811 an Secretary der Asiatic Society of Bengal, und blieb beides, bis er 1833 nach England zurückkehrte.
Horace Hayman Wilson	position_at	Calcutta Mint	Assay Master	1816	1833	True	Windisch GSP	Im Jahre 1816 wurde er Assay Master der Münze zu Calcutta ... und blieb beides, bis er 1833 nach England zurückkehrte.
Horace Hayman Wilson	position_at	East India Company	Medical Service	1808		True	Windisch GSP	Horace Hayman Wilson, geb. 1784, kam 1808 nach Indien im "Medical Service" der East India Company.
Ishwar Chandra Vidyasagar	position_at	Sanskrit College	Direttore			True	Windisch GSP	Paṇḍit Īśvara Candra Vidyāsāgara, der vor diesem "Direttore del Collegio Sanscrito" gewesen war
Ivan Pavlovich Minaev	position_at	University of Saint Petersburg	Professor			True	Windisch GSP	den Päliforscher Minayeff aus Moskau, Professor in Petersburg
J. S. Burt	position_at	Bengal Engineers	Captain			True	Windisch GSP	Captain J. S. Burt, Bengal Engineers
James Prinsep	position_at	Asiatic Society of Bengal	Mitglied; Secretary; Secretary and Editor of the Society's Journal	1832	1838	True	Windisch GSP	Auch war er einer der Secretaries der Asiatic Society, zuerst 1832 noch neben Wilson, bis er im November 1838 aus Gesundheitsrücksichten Indien verlassen mußte
James Prinsep	position_at	Benares Mint	Assay Master		1833	True	Windisch GSP	Nachdem Prinsep einige Jahre Assay Master in Benares gewesen war
James Prinsep	position_at	Calcutta Mint	Assistant to the Assay Master	1819		True	Windisch GSP	kam 1819 nach Indien als "Assistant to the Assay Master of the Calcutta Mint".
James Rennell	position_at	Bengal Engineers		1764		True	Windisch GSP	fand 1764 Anstellung bei den Bengal Engineers
James Rennell	position_at	Government of Bengal	Surveyor General			True	Windisch GSP	und hat dann als Surveyor General in Bengalen die ersten grundlegenden Vermessungen ausgeführt.
James Robert Ballantyne	position_at	Benares College	Principal			True	Windisch GSP	Griffith war Ballantynes Nachfolger als Principal of the Benares College
James Robert Ballantyne	position_at	Benares Sanskrit College	Principal			True	Windisch GSP	Ballantyne, damals noch Principal der Sanskrit College zu Benares
James Talboys Wheeler	position_at	Foreign Department, Government of India	Assistant Secretary			True	Windisch GSP	J. Talboys Wheeler, Assistant Secretary to the Government of India in the Foreign Department
James Tod	position_at	Royal Asiatic Society	Librarian			True	Windisch GSP	Lt. Colonel James Tod, geboren 1782, gestorben 1835, war zuletzt Librarian der R. Asiatic Society in London
Jarl Charpentier	position_at	University of Uppsala				True	Windisch GSP	Über den Suparṇādhyāya ist eine umfangreiche Abhandlung von Charpentier in Upsala zu erwarten
Jean-Baptiste Ventura	position_at	Court of Ranjit Singh	General			True	Windisch GSP	wie die Generale Ventura und Allard in Diensten des Mahārāja Ranjīt Singh stand
Jean-Baptiste Ventura	position_at	Sikh Khalsa Army	General			True	Windisch GSP	General Ventura, einer der französischen Offiziere, die im Dienste des Mahārājā Ranjit Sing (Raṇajit Siṃha) die Streitkräfte der Sikhs befehligten
Jean-François Allard	position_at	Court of Ranjit Singh	General			True	Windisch GSP	wie die Generale Ventura und Allard in Diensten des Mahārāja Ranjīt Singh stand
Jean-Louis Burnouf	position_at	Collège Louis-le-Grand				True	Windisch GSP	Auch am Collège de Louis le Grand war er tätig.
Jean-Louis Burnouf	position_at	Collège de France	Lehrstuhl der lateinischen Beredtsamkeit	1817		True	Windisch GSP	Im Jahre 1817 erhielt er den Lehrstuhl der lateinischen Beredtsamkeit am Collège de France.
Jean-Pierre Abel-Rémusat	position_at	Collège de France	Professor des Chinesischen			True	Windisch GSP	der erstere Professor des Chinesischen am Collège de France
Johann Ernst Hanxleden	position_at	Malabar Jesuit Mission	Jesuit / Missionar; Missionar	1699	1732	True	Windisch GSP; Winternitz GIL 1	den deutschen Jesuiten Johannes Ernst Hanxleden, der 1699 bis 1732 (in diesem Jahre gestorben) in der malabarischen Mission arbeitete
Johann Gottfried Ludwig Kosegarten	position_at	University of Greifswald	Professor; Professor der Theologie und der Orientalischen Sprachen		1850	True	Windisch GSP	seinem Greifswalder Kollegen J. G. L. Kosegarten, Professor der Theologie und der Orientalischen Sprachen
Johann III Bernoulli	position_at	Prussian Academy of Sciences	Mitglied			True	Windisch GSP	von dem Astronomen Johann Bernoulli, Mitglied der Akademie d. W. zu Berlin, veröffentlicht
Johann Samuel Ith	position_at	University of Bern	Professor der Philosophie und Oberbibliothekar			True	Windisch GSP	Johannes Samuel Ith, geboren 1747, gestorben 1813, Professor der Philosophie und Oberbibliothekar in Bern
Johannes Gildemeister	position_at	University of Bonn	Professor			True	Windisch GSP	Er wurde Professor in Marburg, hier in der theologischen Fakultät, und dann in Bonn, wo er seine akademische Laufbahn auch begonnen hatte.
Johannes Gildemeister	position_at	University of Marburg	Professor in der theologischen Fakultät			True	Windisch GSP	Er wurde Professor in Marburg, hier in der theologischen Fakultät, und dann in Bonn, wo er seine akademische Laufbahn auch begonnen hatte.
Johannes Schmidt	position_at	University of Berlin	Professor			False	Windisch GSP	Wilhelm Schulze, der Nachfolger Joh. Schmidts in der Berliner Professur
John Haeberlin	position_at	Church of England	Missionar und Presbyter			True	Windisch GSP	von dem Missionar und Presbyter der anglikanischen Kirche Dr. J. Häberlin, einem geborenen Tuttlinger
John Muir	position_at	Bengal Civil Service		1828	1853	True	Windisch GSP	Er trat 1828 in den Bengal Civil Service ein und war lange Jahre in Indien tätig, bis er 1853 nach England zurückkehrte.
John Pickford	position_at	University of Madras	Professor			True	Windisch GSP	John Pickford, eine Zeitlang Professor in Madras
John Shore, 1st Baron Teignmouth	position_at	Asiatic Society of Bengal	President			True	Windisch GSP	sein Nachfolger als President der Asiatic So- ciety, Sir John Shore
John Stevenson	position_at	Bombay Branch of the Royal Asiatic Society	Vice-President			True	Windisch GSP	des Rev. J. Stevenson, Vice-President der RAS. in Bombay
John Wilson	position_at	Literary Society of Bombay	President			True	Windisch GSP	Rev. Dr. J. Wilson, "president of the Bombay Literary Society"
Joseph Héliodore Garcin de Tassy	position_at	École des Langues Orientales Vivantes	Professor für Hindustānī			True	Windisch GSP	Von Garcin de Tassy, geboren in Marseille 1794, der an der École des Langues orientales vivantes eine Professur für Hindustānī inne hatte
Joseph Toussaint Reinaud	position_at	Bibliothèque Nationale de France	Conservator der orientalischen Handschriften	1854		True	Windisch GSP	und 1854 Conservator der orientalischen Handschriften der Kaiserl. Bibliothek.
Joseph Toussaint Reinaud	position_at	École des Langues Orientales Vivantes	Professor des Arabischen	1838		True	Windisch GSP	wurde 1838 de Sacys Nachfolger als Professor des Arabischen an der École des Langues orientales vivantes
Jules Barthélemy-Saint-Hilaire	position_at	Académie des Sciences Morales et Politiques	Mitglied			True	Windisch GSP	Mitglied der Académie des Sciences morales et politiques
Jules Barthélemy-Saint-Hilaire	position_at	Collège de France	Professor des Griechischen			True	Windisch GSP	Jules Barthélemy Saint-Hilaire, Professor des Griechischen am Collège de France
Julius Eggeling	position_at	Royal Asiatic Society	Secretary und Librarian	1869	1875	True	Windisch GSP	Von 1869 bis 1875 war er Secretary und Librarian der Royal Asiatic Society
Julius Eggeling	position_at	University College London	Professor des Sanskrit	1872	1875	True	Windisch GSP	von 1872 bis 1875 auch Professor des Sanskrit am University College zu London.
Julius Eggeling	position_at	University of Edinburgh	Professur für Sanskrit und Comparative Philology	1875	1914	True	Windisch GSP	wurde er dessen Nachfolger in der Professur für Sanskrit und Comparative Philology zu Edinburgh. Er legte diese 1914 bei Ausbruch des großen Krieges nieder
Julius Grill	position_at	Deanery of Calw	Dekan			True	Windisch GSP	Dekan in Calw
Julius Grill	position_at	Maulbronn Seminary	Professor			True	Windisch GSP	Professor am Seminar in Maulbronn
Julius Grill	position_at	University of Tübingen	Professor der alttestamentlichen Exegese; Repetent	1888		True	Windisch GSP	war Repetent in Tübingen
Julius Mohl	position_at	Collège de France	Professor des Persischen			True	Windisch GSP	Julius Mohl (1800-1876), der letztere Professor des Persischen, der erstere Professor des Chinesischen am Collège de France
Junjiro Takakusu	position_at	University of Tokyo	Professor			True	Winternitz GIL 2	Professor Jyun Takakusu in Tokio
Karl Boysen	position_at	Leipzig University Library	Direktor			True	Windisch GSP	Direktor unserer Universitäts-Bibliothek, Herrn Geheimen Hofrat Dr. Boysen
Karl Budde	position_at	University of Marburg	o. Professor			True	Winternitz GIL 1	Dr. Karl Budde, o. Professor a. d. Universität in Marburg.
Karl Florenz	position_at	University of Tokyo	Prof.			True	Winternitz GIL 1	Dr. K. Florenz, Prof. a. d. Universität in Tokyo.
Karl Joseph Hieronymus Windischmann	position_at	University of Bonn		1818		True	Windisch GSP	Windischmann wurde 1818 nach Bonn berufen.
Karl Ritter	position_at	University of Berlin	Professor			True	Windisch GSP	des Berliner Professors Karl Ritter
Leopold von Schroeder	position_at	Austrian Academy of Sciences	wirkliches Mitglied			True	Winternitz GIL 1	wirklichem Mitglied der kaiserl. Akademie der Wissenschaften in Wien
Leopold von Schroeder	position_at	University of Vienna	Prof.; Professor			True	Winternitz GIL 1; Winternitz GIL 2	Dr. Leopold von Schroeder, Professor an der Wiener Universität
Louis de La Vallée Poussin	position_at	University of Brussels	Professor			True	Winternitz GIL 2	Professor Louis de La Vallée Poussin in Brüssel
Louis-Mathieu Langlès	position_at	Bibliothèque Nationale de France	Conservator der orientalischen Manuskripte			True	Windisch GSP	Conservator der orientalischen Manuskripte der Kaiserlichen Bibliothek war Louis Mathieu Langlès
Marco della Tomba	position_at	Tibet-Hindustan Mission	Missionar	1757	1773	True	Windisch GSP	Marco hielt sich in den Jahren 1757-1773 in Nordindien auf und gehörte der "Missione del Thibet" an
Mathurin Veyssière de La Croze	position_at	Royal Library of Berlin	Bibliothécaire & Antiquaire			True	Windisch GSP	M. V. La Croze, Bibliothécaire & Antiquaire du Roi de Prusse
Mathurin Veyssière de La Croze	position_at	University of Berlin	Bibliothekar	1697		True	Windisch GSP	trat in Basel zur reformierten Kirche über und wurde 1697 Bibliothekar zu Berlin
Michel Bréal	position_at	Collège de France	Professor			True	Windisch GSP	Er ist noch jetzt Professor am Collège de France.
Michel Bréal	position_at	École Pratique des Hautes Études	Direktor			True	Windisch GSP	An der École des Hautes Études, zu deren Direktoren er gehörte
Monier Monier-Williams	position_at	Cheltenham College	teacher of oriental languages			True	Windisch GSP	lehrte er zehn Jahre lang orientalische Sprachen in Cheltenham, bis seine Wahl zum Professor in Oxford erfolgte.
Monier Monier-Williams	position_at	East India Company College	Professor of Sanskrit, Persian und Hindustani			True	Windisch GSP	seine erste Anstellung war die als Professor of Sanskrit, Persian und Hindustani in Haileybury.
Monier Monier-Williams	position_at	University of Oxford	Boden Professor of Sanskrit	1860		True	Windisch GSP	Der Nachfolger Wilsons als Boden Professor of Sanskrit an der Universität Oxford wurde im Jahre 1860 Monier Williams
Moriz Winternitz	position_at	University of Prague	a. ö. Professor; o. Professor; ord. Professor			True	Winternitz GIL 1; Winternitz GIL 2; Winternitz GIL 3	Dr. M. Winternitz, a. ö. Professor an der deutschen Universität in Prag.
Nathaniel Brassey Halhed	position_at	East India Company	Beamter			True	Windisch GSP	Nathaniel Brassey Halhed, einem Beamten der East India Company, geboren 1751, gestorben 1830
Niels Ludvig Westergaard	position_at	University of Copenhagen	Professor für Indisch-orientalische Philologie	1845		True	Windisch GSP	Niels Ludvig Westergaard, geboren 1815, gestorben 1878, erhielt 1845 eine Professur für Indisch-orientalische Philologie in Kopenhagen
Othmar Frank	position_at	University of Bamberg	Professor der Philosophie			True	Windisch GSP	tritt uns in seinen Schriften zuerst als Professor der Philosophie in Bamberg entgegen
Othmar Frank	position_at	University of Munich	Professor	1826		True	Windisch GSP	von 1826 an in München an der dortigen neugegründeten Universität.
Othmar Frank	position_at	University of Würzburg	Professor Philosophiae ac Philologiae Orientalis, Indicae inprimis ac Persicae			True	Windisch GSP	war dann Professor Philosophiae ac Philologiae Orientalis, Indicae inprimis ac Persicae, in Würzburg
Otto von Böhtlingk	position_at	Saint Petersburg Academy of Sciences	Mitglied, zuletzt Ehrenmitglied	1842		True	Windisch GSP	war seit 1842 Mitglied, zuletzt Ehrenmitglied der K. Akademie der Wissenschaften zu St. Petersburg.
Paul Grimblot	position_at	French Vice-Consulate in Colombo		1861		True	Windisch GSP	befindet sich ein Brief von Paul Grimblot vom Jahre 1861 aus dem Vice-Consulat de France zu Colombo
Paul Grimblot	position_at	Government of France	Consul de France à Ceylan et en Birmanie			True	Windisch GSP	P. Grimblot, Ancien Consul de France à Ceylan et en Birmanie
Paul Horn	position_at	University of Strasbourg	a. o. Prof.			True	Winternitz GIL 1	Dr. Paul Horn, a. o. Prof. a. d. Universität in Straßburg.
Paulinus a Sancto Bartholomaeo	position_at	Malabar Mission	Missionar	1776	1789	True	Winternitz GIL 1	Er war von 1776—1789 Missionar an der Küste von Malabar und starb im Jahre 1805 in Rom.
